"MONATSZAHL","AUSPRAEGUNG","JAHR","MONAT","WERT","VORJAHRESWERT","VERAEND_VORMONAT_PROZENT","VERAEND_VORJAHRESMONAT_PROZENT","ZWOELF_MONATE_MITTELWERT"
"Alkoholunfälle","insgesamt",2016,"201611",20,30,-33.33,-33.33,26
"Alkoholunfälle","insgesamt",2016,"201612",20,27,0,-25.93,25
"Alkoholunfälle","insgesamt",2015,"201501",22,21,-12,4.76,32
"Alkoholunfälle","insgesamt",2015,"201502",23,17,4.55,35.29,32
"Alkoholunfälle","insgesamt",2015,"201503",23,37,0,-37.84,31
"Alkoholunfälle","insgesamt",2015,"201504",29,35,26.09,-17.14,31
"Alkoholunfälle","insgesamt",2015,"201505",50,28,72.41,78.57,33
"Alkoholunfälle","insgesamt",2015,"201506",39,31,-22,25.81,33
"Alkoholunfälle","insgesamt",2015,"201507",49,35,25.64,40,34
"Alkoholunfälle","insgesamt",2015,"201508",49,32,0,53.13,36
"Alkoholunfälle","insgesamt",2015,"201509",45,43,-8.16,4.65,36
"Alkoholunfälle","insgesamt",2015,"201510",25,36,-44.44,-30.56,35
"Alkoholunfälle","insgesamt",2015,"201511",30,42,20,-28.57,34
"Alkoholunfälle","insgesamt",2015,"201512",27,25,-10,8,34
"Alkoholunfälle","insgesamt",2014,"201401",21,17,-34.38,23.53,32
"Alkoholunfälle","insgesamt",2014,"201402",17,15,-19.05,13.33,32
"Alkoholunfälle","insgesamt",2014,"201403",37,21,117.65,76.19,33
"Alkoholunfälle","insgesamt",2014,"201404",35,28,-5.41,25,34
"Alkoholunfälle","insgesamt",2014,"201405",28,33,-20,-15.15,33
"Alkoholunfälle","insgesamt",2014,"201406",31,37,10.71,-16.22,33
"Alkoholunfälle","insgesamt",2014,"201407",35,42,12.9,-16.67,32
"Alkoholunfälle","insgesamt",2014,"201408",32,39,-8.57,-17.95,32
"Alkoholunfälle","insgesamt",2014,"201409",43,47,34.38,-8.51,31
"Alkoholunfälle","insgesamt",2014,"201410",36,31,-16.28,16.13,32
"Alkoholunfälle","insgesamt",2014,"201411",42,35,16.67,20,32
"Alkoholunfälle","insgesamt",2014,"201412",25,32,-40.48,-21.88,32
"Alkoholunfälle","insgesamt",2013,"201301",17,21,-37.04,-19.05,36
"Alkoholunfälle","insgesamt",2013,"201302",15,18,-11.76,-16.67,36
"Alkoholunfälle","insgesamt",2013,"201303",21,21,40,0,36
"Alkoholunfälle","insgesamt",2013,"201304",28,34,33.33,-17.65,36
"Alkoholunfälle","insgesamt",2013,"201305",33,54,17.86,-38.89,34
"Alkoholunfälle","insgesamt",2013,"201306",37,43,12.12,-13.95,33
"Alkoholunfälle","insgesamt",2013,"201307",42,56,13.51,-25,32
"Alkoholunfälle","insgesamt",2013,"201308",39,55,-7.14,-29.09,31
"Alkoholunfälle","insgesamt",2013,"201309",47,49,20.51,-4.08,31
"Alkoholunfälle","insgesamt",2013,"201310",31,32,-34.04,-3.13,31
"Alkoholunfälle","insgesamt",2013,"201311",35,30,12.9,16.67,31
"Alkoholunfälle","insgesamt",2013,"201312",32,27,-8.57,18.52,31
"Alkoholunfälle","insgesamt",2012,"201201",21,25,-43.24,-16,33
"Alkoholunfälle","insgesamt",2012,"201202",18,25,-14.29,-28,32
"Alkoholunfälle","insgesamt",2012,"201203",21,22,16.67,-4.55,32
"Alkoholunfälle","insgesamt",2012,"201204",34,43,61.9,-20.93,31
"Alkoholunfälle","insgesamt",2012,"201205",54,43,58.82,25.58,32
"Alkoholunfälle","insgesamt",2012,"201206",43,27,-20.37,59.26,34
"Alkoholunfälle","insgesamt",2012,"201207",56,39,30.23,43.59,35
"Alkoholunfälle","insgesamt",2012,"201208",55,34,-1.79,61.76,37
"Alkoholunfälle","insgesamt",2012,"201209",49,36,-10.91,36.11,38
"Alkoholunfälle","insgesamt",2012,"201210",32,26,-34.69,23.08,38
"Alkoholunfälle","insgesamt",2012,"201211",30,40,-6.25,-25,38
"Alkoholunfälle","insgesamt",2012,"201212",27,37,-10,-27.03,37
"Alkoholunfälle","insgesamt",2011,"201101",25,19,-3.85,31.58,34
"Alkoholunfälle","insgesamt",2011,"201102",25,23,0,8.7,34
"Alkoholunfälle","insgesamt",2011,"201103",22,31,-12,-29.03,33
"Alkoholunfälle","insgesamt",2011,"201104",43,33,95.45,30.3,34
"Alkoholunfälle","insgesamt",2011,"201105",43,34,0,26.47,35
"Alkoholunfälle","insgesamt",2011,"201106",27,39,-37.21,-30.77,34
"Alkoholunfälle","insgesamt",2011,"201107",39,48,44.44,-18.75,33
"Alkoholunfälle","insgesamt",2011,"201108",34,40,-12.82,-15,33
"Alkoholunfälle","insgesamt",2011,"201109",36,54,5.88,-33.33,31
"Alkoholunfälle","insgesamt",2011,"201110",26,27,-27.78,-3.7,31
"Alkoholunfälle","insgesamt",2011,"201111",40,28,53.85,42.86,32
"Alkoholunfälle","insgesamt",2011,"201112",37,26,-7.5,42.31,33
"Alkoholunfälle","insgesamt",2010,"201001",19,23,-44.12,-17.39,36
"Alkoholunfälle","insgesamt",2010,"201002",23,32,21.05,-28.13,35
"Alkoholunfälle","insgesamt",2010,"201003",31,14,34.78,121.43,36
"Alkoholunfälle","insgesamt",2010,"201004",33,45,6.45,-26.67,35
"Alkoholunfälle","insgesamt",2010,"201005",34,57,3.03,-40.35,33
"Alkoholunfälle","insgesamt",2010,"201006",39,31,14.71,25.81,34
"Alkoholunfälle","insgesamt",2010,"201007",48,44,23.08,9.09,34
"Alkoholunfälle","insgesamt",2010,"201008",40,35,-16.67,14.29,35
"Alkoholunfälle","insgesamt",2010,"201009",54,49,35,10.2,35
"Alkoholunfälle","insgesamt",2010,"201010",27,35,-50,-22.86,34
"Alkoholunfälle","insgesamt",2010,"201011",28,31,3.7,-9.68,34
"Alkoholunfälle","insgesamt",2010,"201012",26,34,-7.14,-23.53,34
"Alkoholunfälle","insgesamt",2009,"200901",23,32,-34.29,-28.13,39
"Alkoholunfälle","insgesamt",2009,"200902",32,30,39.13,6.67,40
"Alkoholunfälle","insgesamt",2009,"200903",14,30,-56.25,-53.33,38
"Alkoholunfälle","insgesamt",2009,"200904",45,25,221.43,80,40
"Alkoholunfälle","insgesamt",2009,"200905",57,57,26.67,0,40
"Alkoholunfälle","insgesamt",2009,"200906",31,56,-45.61,-44.64,38
"Alkoholunfälle","insgesamt",2009,"200907",44,52,41.94,-15.38,37
"Alkoholunfälle","insgesamt",2009,"200908",35,44,-20.45,-20.45,36
"Alkoholunfälle","insgesamt",2009,"200909",49,49,40,0,36
"Alkoholunfälle","insgesamt",2009,"200910",35,45,-28.57,-22.22,36
"Alkoholunfälle","insgesamt",2009,"200911",31,27,-11.43,14.81,36
"Alkoholunfälle","insgesamt",2009,"200912",34,35,9.68,-2.86,36
"Alkoholunfälle","insgesamt",2008,"200801",32,36,-13.51,-11.11,46
"Alkoholunfälle","insgesamt",2008,"200802",30,32,-6.25,-6.25,46
"Alkoholunfälle","insgesamt",2008,"200803",30,38,0,-21.05,46
"Alkoholunfälle","insgesamt",2008,"200804",25,49,-16.67,-48.98,44
"Alkoholunfälle","insgesamt",2008,"200805",57,63,128,-9.52,43
"Alkoholunfälle","insgesamt",2008,"200806",56,51,-1.75,9.8,43
"Alkoholunfälle","insgesamt",2008,"200807",52,65,-7.14,-20,42
"Alkoholunfälle","insgesamt",2008,"200808",44,44,-15.38,0,42
"Alkoholunfälle","insgesamt",2008,"200809",49,54,11.36,-9.26,42
"Alkoholunfälle","insgesamt",2008,"200810",45,55,-8.16,-18.18,41
"Alkoholunfälle","insgesamt",2008,"200811",27,36,-40,-25,40
"Alkoholunfälle","insgesamt",2008,"200812",35,37,29.63,-5.41,40
"Alkoholunfälle","insgesamt",2007,"200701",36,44,-30.77,-18.18,49
"Alkoholunfälle","insgesamt",2007,"200702",32,50,-11.11,-36,48
"Alkoholunfälle","insgesamt",2007,"200703",38,40,18.75,-5,48
"Alkoholunfälle","insgesamt",2007,"200704",49,40,28.95,22.5,48
"Alkoholunfälle","insgesamt",2007,"200705",63,53,28.57,18.87,49
"Alkoholunfälle","insgesamt",2007,"200706",51,51,-19.05,0,49
"Alkoholunfälle","insgesamt",2007,"200707",65,64,27.45,1.56,49
"Alkoholunfälle","insgesamt",2007,"200708",44,48,-32.31,-8.33,49
"Alkoholunfälle","insgesamt",2007,"200709",54,64,22.73,-15.63,48
"Alkoholunfälle","insgesamt",2007,"200710",55,45,1.85,22.22,49
"Alkoholunfälle","insgesamt",2007,"200711",36,48,-34.55,-25,48
"Alkoholunfälle","insgesamt",2007,"200712",37,52,2.78,-28.85,47
"Alkoholunfälle","insgesamt",2006,"200601",44,48,7.32,-8.33,50
"Alkoholunfälle","insgesamt",2006,"200602",50,40,13.64,25,51
"Alkoholunfälle","insgesamt",2006,"200603",40,40,-20,0,51
"Alkoholunfälle","insgesamt",2006,"200604",40,40,0,0,51
"Alkoholunfälle","insgesamt",2006,"200605",53,48,32.5,10.42,51
"Alkoholunfälle","insgesamt",2006,"200606",51,57,-3.77,-10.53,50
"Alkoholunfälle","insgesamt",2006,"200607",64,63,25.49,1.59,51
"Alkoholunfälle","insgesamt",2006,"200608",48,48,-25,0,51
"Alkoholunfälle","insgesamt",2006,"200609",64,76,33.33,-15.79,50
"Alkoholunfälle","insgesamt",2006,"200610",45,57,-29.69,-21.05,49
"Alkoholunfälle","insgesamt",2006,"200611",48,42,6.67,14.29,49
"Alkoholunfälle","insgesamt",2006,"200612",52,41,8.33,26.83,50
"Alkoholunfälle","insgesamt",2005,"200501",48,42,-7.69,14.29,55
"Alkoholunfälle","insgesamt",2005,"200502",40,48,-16.67,-16.67,55
"Alkoholunfälle","insgesamt",2005,"200503",40,44,0,-9.09,54
"Alkoholunfälle","insgesamt",2005,"200504",40,37,0,8.11,55
"Alkoholunfälle","insgesamt",2005,"200505",48,55,20,-12.73,54
"Alkoholunfälle","insgesamt",2005,"200506",57,58,18.75,-1.72,54
"Alkoholunfälle","insgesamt",2005,"200507",63,67,10.53,-5.97,54
"Alkoholunfälle","insgesamt",2005,"200508",48,58,-23.81,-17.24,53
"Alkoholunfälle","insgesamt",2005,"200509",76,79,58.33,-3.8,53
"Alkoholunfälle","insgesamt",2005,"200510",57,68,-25,-16.18,52
"Alkoholunfälle","insgesamt",2005,"200511",42,51,-26.32,-17.65,51
"Alkoholunfälle","insgesamt",2005,"200512",41,52,-2.38,-21.15,50
"Alkoholunfälle","insgesamt",2004,"200401",42,55,-27.59,-23.64,60
"Alkoholunfälle","insgesamt",2004,"200402",48,44,14.29,9.09,60
"Alkoholunfälle","insgesamt",2004,"200403",44,53,-8.33,-16.98,59
"Alkoholunfälle","insgesamt",2004,"200404",37,50,-15.91,-26,58
"Alkoholunfälle","insgesamt",2004,"200405",55,65,48.65,-15.38,57
"Alkoholunfälle","insgesamt",2004,"200406",58,82,5.45,-29.27,55
"Alkoholunfälle","insgesamt",2004,"200407",67,76,15.52,-11.84,55
"Alkoholunfälle","insgesamt",2004,"200408",58,66,-13.43,-12.12,54
"Alkoholunfälle","insgesamt",2004,"200409",79,63,36.21,25.4,55
"Alkoholunfälle","insgesamt",2004,"200410",68,74,-13.92,-8.11,55
"Alkoholunfälle","insgesamt",2004,"200411",51,44,-25,15.91,55
"Alkoholunfälle","insgesamt",2004,"200412",52,58,1.96,-10.34,55
"Alkoholunfälle","insgesamt",2003,"200301",55,44,-12.7,25,68
"Alkoholunfälle","insgesamt",2003,"200302",44,49,-20,-10.2,67
"Alkoholunfälle","insgesamt",2003,"200303",53,61,20.45,-13.11,67
"Alkoholunfälle","insgesamt",2003,"200304",50,65,-5.66,-23.08,66
"Alkoholunfälle","insgesamt",2003,"200305",65,58,30,12.07,66
"Alkoholunfälle","insgesamt",2003,"200306",82,74,26.15,10.81,67
"Alkoholunfälle","insgesamt",2003,"200307",76,84,-7.32,-9.52,66
"Alkoholunfälle","insgesamt",2003,"200308",66,71,-13.16,-7.04,66
"Alkoholunfälle","insgesamt",2003,"200309",63,107,-4.55,-41.12,62
"Alkoholunfälle","insgesamt",2003,"200310",74,83,17.46,-10.84,61
"Alkoholunfälle","insgesamt",2003,"200311",44,44,-40.54,0,61
"Alkoholunfälle","insgesamt",2003,"200312",58,63,31.82,-7.94,61
"Alkoholunfälle","insgesamt",2002,"200201",44,66,-33.33,-33.33,69
"Alkoholunfälle","insgesamt",2002,"200202",49,49,11.36,0,69
"Alkoholunfälle","insgesamt",2002,"200203",61,63,24.49,-3.17,69
"Alkoholunfälle","insgesamt",2002,"200204",65,68,6.56,-4.41,68
"Alkoholunfälle","insgesamt",2002,"200205",58,85,-10.77,-31.76,66
"Alkoholunfälle","insgesamt",2002,"200206",74,68,27.59,8.82,67
"Alkoholunfälle","insgesamt",2002,"200207",84,71,13.51,18.31,68
"Alkoholunfälle","insgesamt",2002,"200208",71,60,-15.48,18.33,69
"Alkoholunfälle","insgesamt",2002,"200209",107,107,50.7,0,69
"Alkoholunfälle","insgesamt",2002,"200210",83,77,-22.43,7.79,69
"Alkoholunfälle","insgesamt",2002,"200211",44,68,-46.99,-35.29,67
"Alkoholunfälle","insgesamt",2002,"200212",63,66,43.18,-4.55,67
"Alkoholunfälle","insgesamt",2001,"200101",66,78,-22.35,-15.38,77
"Alkoholunfälle","insgesamt",2001,"200102",49,53,-25.76,-7.55,77
"Alkoholunfälle","insgesamt",2001,"200103",63,73,28.57,-13.7,76
"Alkoholunfälle","insgesamt",2001,"200104",68,78,7.94,-12.82,75
"Alkoholunfälle","insgesamt",2001,"200105",85,96,25,-11.46,74
"Alkoholunfälle","insgesamt",2001,"200106",68,57,-20,19.3,75
"Alkoholunfälle","insgesamt",2001,"200107",71,99,4.41,-28.28,73
"Alkoholunfälle","insgesamt",2001,"200108",60,77,-15.49,-22.08,71
"Alkoholunfälle","insgesamt",2001,"200109",107,84,78.33,27.38,73
"Alkoholunfälle","insgesamt",2001,"200110",77,83,-28.04,-7.23,73
"Alkoholunfälle","insgesamt",2001,"200111",68,71,-11.69,-4.23,72
"Alkoholunfälle","insgesamt",2001,"200112",66,85,-2.94,-22.35,71
"Alkoholunfälle","insgesamt",2000,"200001",78,,,,78
"Alkoholunfälle","insgesamt",2000,"200002",53,,-32.05,,66
"Alkoholunfälle","insgesamt",2000,"200003",73,,37.74,,68
"Alkoholunfälle","insgesamt",2000,"200004",78,,6.85,,71
"Alkoholunfälle","insgesamt",2000,"200005",96,,23.08,,76
"Alkoholunfälle","insgesamt",2000,"200006",57,,-40.63,,73
"Alkoholunfälle","insgesamt",2000,"200007",99,,73.68,,76
"Alkoholunfälle","insgesamt",2000,"200008",77,,-22.22,,76
"Alkoholunfälle","insgesamt",2000,"200009",84,,9.09,,77
"Alkoholunfälle","insgesamt",2000,"200010",83,,-1.19,,78
"Alkoholunfälle","insgesamt",2000,"200011",71,,-14.46,,77
"Alkoholunfälle","insgesamt",2000,"200012",85,,19.72,,78
"Alkoholunfälle","Verletzte und Getötete",2023,"202301",,,,,
"Alkoholunfälle","Verletzte und Getötete",2023,"202302",,,,,
"Alkoholunfälle","Verletzte und Getötete",2023,"202303",,,,,
"Alkoholunfälle","Verletzte und Getötete",2023,"202304",,,,,
"Alkoholunfälle","Verletzte und Getötete",2023,"202305",,,,,
"Alkoholunfälle","Verletzte und Getötete",2023,"202306",,,,,
"Alkoholunfälle","Verletzte und Getötete",2023,"202307",,,,,
"Alkoholunfälle","Verletzte und Getötete",2023,"202308",,,,,
"Alkoholunfälle","Verletzte und Getötete",2023,"202309",,,,,
"Alkoholunfälle","Verletzte und Getötete",2023,"202310",,,,,
"Alkoholunfälle","Verletzte und Getötete",2023,"202311",,,,,
"Alkoholunfälle","Verletzte und Getötete",2023,"202312",,,,,
"Alkoholunfälle","Verletzte und Getötete",2022,"202201",,5,,,
"Alkoholunfälle","Verletzte und Getötete",2022,"202202",,9,,,
"Alkoholunfälle","Verletzte und Getötete",2022,"202203",,6,,,
"Alkoholunfälle","Verletzte und Getötete",2022,"202204",,6,,,
"Alkoholunfälle","Verletzte und Getötete",2022,"202205",,13,,,
"Alkoholunfälle","Verletzte und Getötete",2022,"202206",,39,,,
"Alkoholunfälle","Verletzte und Getötete",2022,"202207",,27,,,
"Alkoholunfälle","Verletzte und Getötete",2022,"202208",,24,,,
"Alkoholunfälle","Verletzte und Getötete",2022,"202209",,36,,,
"Alkoholunfälle","Verletzte und Getötete",2022,"202210",,27,,,
"Alkoholunfälle","Verletzte und Getötete",2022,"202211",,15,,,
"Alkoholunfälle","Verletzte und Getötete",2022,"202212",,7,,,
"Alkoholunfälle","Verletzte und Getötete",2021,"202101",5,11,-44.44,-54.55,20
"Alkoholunfälle","Verletzte und Getötete",2021,"202102",9,19,80,-52.63,20
"Alkoholunfälle","Verletzte und Getötete",2021,"202103",6,13,-33.33,-53.85,19
"Alkoholunfälle","Verletzte und Getötete",2021,"202104",6,15,0,-60,18
"Alkoholunfälle","Verletzte und Getötete",2021,"202105",13,26,116.67,-50,17
"Alkoholunfälle","Verletzte und Getötete",2021,"202106",39,30,200,30,18
"Alkoholunfälle","Verletzte und Getötete",2021,"202107",27,43,-30.77,-37.21,17
"Alkoholunfälle","Verletzte und Getötete",2021,"202108",24,29,-11.11,-17.24,16
"Alkoholunfälle","Verletzte und Getötete",2021,"202109",36,24,50,50,17
"Alkoholunfälle","Verletzte und Getötete",2021,"202110",27,20,-25,35,18
"Alkoholunfälle","Verletzte und Getötete",2021,"202111",15,11,-44.44,36.36,18
"Alkoholunfälle","Verletzte und Getötete",2021,"202112",7,9,-53.33,-22.22,18
"Alkoholunfälle","Verletzte und Getötete",2020,"202001",11,7,-8.33,57.14,19
"Alkoholunfälle","Verletzte und Getötete",2020,"202002",19,7,72.73,171.43,20
"Alkoholunfälle","Verletzte und Getötete",2020,"202003",13,22,-31.58,-40.91,20
"Alkoholunfälle","Verletzte und Getötete",2020,"202004",15,18,15.38,-16.67,19
"Alkoholunfälle","Verletzte und Getötete",2020,"202005",26,21,73.33,23.81,20
"Alkoholunfälle","Verletzte und Getötete",2020,"202006",30,24,15.38,25,20
"Alkoholunfälle","Verletzte und Getötete",2020,"202007",43,34,43.33,26.47,21
"Alkoholunfälle","Verletzte und Getötete",2020,"202008",29,23,-32.56,26.09,21
"Alkoholunfälle","Verletzte und Getötete",2020,"202009",24,20,-17.24,20,22
"Alkoholunfälle","Verletzte und Getötete",2020,"202010",20,20,-16.67,0,22
"Alkoholunfälle","Verletzte und Getötete",2020,"202011",11,19,-45,-42.11,21
"Alkoholunfälle","Verletzte und Getötete",2020,"202012",9,12,-18.18,-25,21
"Alkoholunfälle","Verletzte und Getötete",2019,"201901",7,8,16.67,-12.5,15
"Alkoholunfälle","Verletzte und Getötete",2019,"201902",7,13,0,-46.15,15
"Alkoholunfälle","Verletzte und Getötete",2019,"201903",22,12,214.29,83.33,15
"Alkoholunfälle","Verletzte und Getötete",2019,"201904",18,8,-18.18,125,16
"Alkoholunfälle","Verletzte und Getötete",2019,"201905",21,23,16.67,-8.7,16
"Alkoholunfälle","Verletzte und Getötete",2019,"201906",24,14,14.29,71.43,17
"Alkoholunfälle","Verletzte und Getötete",2019,"201907",34,29,41.67,17.24,17
"Alkoholunfälle","Verletzte und Getötete",2019,"201908",23,18,-32.35,27.78,18
"Alkoholunfälle","Verletzte und Getötete",2019,"201909",20,22,-13.04,-9.09,18
"Alkoholunfälle","Verletzte und Getötete",2019,"201910",20,16,0,25,18
"Alkoholunfälle","Verletzte und Getötete",2019,"201911",19,13,-5,46.15,18
"Alkoholunfälle","Verletzte und Getötete",2019,"201912",12,6,-36.84,100,19
"Alkoholunfälle","Verletzte und Getötete",2018,"201801",8,4,-52.94,100,15
"Alkoholunfälle","Verletzte und Getötete",2018,"201802",13,4,62.5,225,16
"Alkoholunfälle","Verletzte und Getötete",2018,"201803",12,15,-7.69,-20,16
"Alkoholunfälle","Verletzte und Getötete",2018,"201804",8,10,-33.33,-20,15
"Alkoholunfälle","Verletzte und Getötete",2018,"201805",23,16,187.5,43.75,16
"Alkoholunfälle","Verletzte und Getötete",2018,"201806",14,27,-39.13,-48.15,15
"Alkoholunfälle","Verletzte und Getötete",2018,"201807",29,18,107.14,61.11,16
"Alkoholunfälle","Verletzte und Getötete",2018,"201808",18,14,-37.93,28.57,16
"Alkoholunfälle","Verletzte und Getötete",2018,"201809",22,22,22.22,0,16
"Alkoholunfälle","Verletzte und Getötete",2018,"201810",16,16,-27.27,0,16
"Alkoholunfälle","Verletzte und Getötete",2018,"201811",13,13,-18.75,0,16
"Alkoholunfälle","Verletzte und Getötete",2018,"201812",6,17,-53.85,-64.71,15
"Alkoholunfälle","Verletzte und Getötete",2017,"201701",4,6,-60,-33.33,12
"Alkoholunfälle","Verletzte und Getötete",2017,"201702",4,3,0,33.33,12
